â,1918
ã,134
å,3
a,11153
abandon,15
abandoned,22
abandoning,2
abated,7
abbã,324
abduction,2
ability,6
abject,3
able,94
abode,16
about,614
above,97
abreast,4
abroad,9
abrupt,3
abruptly,13
absence,42
absent,17
absolute,9
absolutely,20
absorb,2
absorbed,23
absorbing,2
abstinence,2
abstract,2
abstraction,2
absurd,10
abundantly,7
abuse,4
abyss,13
academician,3
academy,5
accede,3
accelerate,3
accelerated,3
accent,29
accents,4
accept,45
acceptable,4
accepted,37
accepting,4
access,8
accident,23
accidentally,4
accommodation,2
accompanied,73
accompany,43
accompanying,5
accomplice,11
accomplish,17
accomplished,20
accomplishing,3
accomplishment,4
accord,8
accordance,8
accorded,6
according,56
accordingly,10
accosted,3
accoules,3
account,93
accountable,2
accounted,2
accounts,13
accumulated,3
accuracy,4
accurate,3
accurately,5
accursed,13
accusation,23
accuse,9
accused,26
accusing,3
accustom,3
accustomed,79
ace,2
achieve,3
achieved,15
aching,3
acknowledge,31
acknowledged,19
acknowledges,3
acknowledging,5
acknowledgment,2
acquaint,7
acquaintance,40
acquaintances,9
acquainted,38
acquire,8
acquired,34
acquisition,4
acquitted,3
acre,3
acres,3
across,79
act,94
acted,18
acting,14
action,39
actions,20
active,12
activity,9
actor,5
actors,9
acts,8
actual,9
actually,16
actuated,5
acute,5
adapted,3
add,24
added,154
adding,6
addition,10
additional,5
address,45
addressed,45
addresses,3
addressing,31
adelmonte,11
adept,4
adequate,2
adherents,2
adieu,54
adjacent,5
adjoining,18
adjust,3
adjusted,8
adjusting,3
administer,6
administered,9
administering,4
admirable,17
admirably,13
admiration,28
admire,13
admired,10
admiring,3
admit,19
admittance,3
admitted,19
admitting,4
adopt,12
adopted,15
adopting,3
adorable,7
adoration,3
adore,8
adored,15
adorned,3
advance,32
advanced,94
advancing,29
advantage,32
advantageous,4
advantages,8
adventure,24
adventurer,3
adventures,15
adventurous,6
adversary,9
adversity,3
advertised,2
advice,50
advisable,3
advise,15
advised,8
adviser,4
afar,2
affable,3
affair,84
affairs,47
affect,16
affected,29
affecting,9
affection,46
affectionate,17
affectionately,10
affections,7
affects,3
affianced,5
affirm,3
affirmative,11
afflicted,3
affliction,3
afflictions,4
afford,17
afforded,15
afloat,3
afraid,44
afresh,3
africa,10
after,611
afternoon,18
afterward,3
afterwards,84
again,519
against,302
age,75
aged,9
agent,24
agents,11
ages,11
aggravated,2
aghast,3
agility,3
agitated,36
agitation,28
ago,58
agonies,6
agony,24
agree,24
agreeable,31
agreed,29
agreein,3
agreement,6
ahâ,3
ah,404
ahead,10
aid,42
aided,9
ails,6
aim,10
aimed,3
ain,22
air,193
aix,5
ajar,3
al,7
alacrity,3
aladdin,4
alarm,42
alarmed,41
alarming,7
alarms,6
alas,92
albanian,4
albano,4
albertâ,6
albert,774
album,11
alert,12
alexander,12
alexandria,3
algebraic,3
algiers,5
ali,173
alicante,5
alice,168
alight,4
alighted,11
alighting,4
alike,3
alive,47
allâ,4
allã,16
all,2022
allegiance,9
alleviate,6
alley,5
alleys,3
alliance,16
allied,4
allow,116
allowance,4
allowed,57
allowing,4
allows,5
allude,10
alluded,6
allusion,8
almighty,10
almost,265
aloft,3
aloneâ,3
alone,326
along,109
alongside,10
aloof,4
aloud,28
alphabet,5
already,212
also,231
altar,7
alter,8
alteration,3
altered,14
alternately,10
alters,2
although,131
altogether,23
always,302
amâ,4
amã,18
am,864
amassed,5
amateur,4
amazed,5
amazement,20
ambassador,4
ambassadors,3
ambition,16
ambitious,13
ambush,2
amends,4
amiability,3
amiable,9
amid,17
amidst,9
among,119
amongst,50
amount,38
amounted,9
amounting,10
amounts,4
amphitrite,2
ample,9
amply,3
amuse,10
amused,11
amusement,7
amusements,3
amusing,12
an,1734
ancestors,7
ancestry,3
anchor,18
anchored,4
anchoring,2
ancient,26
ancients,3
andâ,7
and,15816
andrea,305
angel,41
angelo,3
angels,5
anger,59
angle,20
angles,6
angrily,5
angry,56
anguish,26
angular,2
anhelitu,2
animal,57
animals,62
animated,7
animation,10
ann,4
announce,19
announced,57
announcement,11
announcing,9
annoy,9
annoyance,6
annoyed,9
annoying,5
annuity,7
annum,13
anonymous,5
another,358
ans,2
answer,131
answered,162
answering,21
answers,11
antechamber,23
anteroom,13
anthony,3
anti,3
anticipate,4
anticipated,21
anticipating,4
anticipation,7
anticipations,3
antics,2
antidote,3
antin,11
antipathy,4
antiquated,2
antique,3
antiquity,3
antoine,5
antoinette,3
anxiety,40
anxious,50
anxiously,26
any,567
anybody,12
anyone,115
anything,178
anyway,3
anywhere,10
apart,14
apartment,84
apartments,49
aperture,10
apex,3
apiece,3
apologized,4
apology,6
apoplectic,4
apoplexy,9
appalled,4
appalling,3
apparent,21
apparently,38
apparition,7
appeal,14
appealed,3
appear,99
appearance,97
appearances,7
appeared,223
appearing,16
appears,57
appellation,8
appetite,17
appian,3
applause,9
apples,4
application,9
applied,20
apply,12
appointed,19
appointment,11
appreciate,8
appreciated,8
appreciation,2
apprehend,3
apprehended,2
apprehension,12
apprehensions,10
apprehensively,3
apprenticeship,4
apprise,6
apprised,8
approach,45
approached,103
approaching,46
approbation,12
appropriated,2
approval,5
approve,8
approved,6
april,11
apropos,4
aqua,3
aquapendente,3
arab,4
arabesques,3
arabia,4
arabian,19
arabic,9
arabs,4
arbor,14
arcades,3
arch,3
archbishop,3
arched,7
archipelago,4
architect,5
archway,3
arctic,4
ardent,9
ardently,7
ardor,3
ardours,3
areâ,4
are,1800
area,2
argentina,10
argument,3
arguments,3
aright,4
arise,10
arisen,5
arises,3
aristocracy,6
aristocratic,14
arithmetic,4
arithmetical,3
arles,6
arlesian,2
armâ,2
arm,143
armchair,28
armchairs,3
armed,15
armies,3
armilly,24
armorial,3
arms,158
army,28
arose,69
around,219
arouse,3
aroused,24
arrange,9
arranged,47
arrangement,5
arrangements,16
arranging,9
arrest,33
arrested,31
arresting,7
arrival,56
arrive,24
arrived,150
arrives,10
arriving,9
arrow,5
arsenal,3
arsenic,7
arstein,2
art,16
article,18
articles,10
artificial,7
artist,14
artists,3
artlessness,3
arts,7
as,3676
ascend,8
ascendancy,3
ascended,23
ascending,10
ascent,2
ascertain,21
ascertained,6
ascertaining,3
ashamed,11
ashes,9
ashore,14
asia,2
aside,44
ask,188
asked,481
asking,20
asks,7
asleep,27
aspect,14
assailed,5
assassin,30
assassinate,5
assassinated,14
assassination,15
assassins,3
